"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","RX-124 Gundam TR-6 [Woundwort]","Bandai Spirits","5059023","RX-124 gundam TR-6","Static model kits","USD 28","2025-08-01","P-Bandai","","","","","https://www.scalemates.com/kits/--1307113"
"1:144","Gundam Mk-II Titans","Bandai Spirits","5061597","RX-178","Static model kits","USD 27.99","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1355191"
"1:100","RX-78-2 Gundam Ver. 3.0","Bandai Spirits","5061610","RX-78 gundam","Static model kits","USD 42.76","2024-08-10","Hobby Lobby","","","","","https://www.scalemates.com/kits/--1355241"
"1:144","RX-78-2 Gundam Ver.2.0","Bandai Spirits","5067155","RX-78 gundam","Static model kits","USD 36.99","2024-05-09","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1541866"
"1:100","RX-78-2 Gundam Ver.Ka","Bandai Spirits","5063537","RX-78 gundam","Static model kits","USD 34","2024-11-01","P-Bandai","","","","","https://www.scalemates.com/kits/--1417474"
"1:144","RX-78-2 Gundam [Beyond Global]","Bandai Spirits","5058205","RX-78 gundam","Static model kits","USD 23.8","2025-11-22","Newtype","","","","","https://www.scalemates.com/kits/--1289084"
"1:144","RX-78-2 Gundam [Earth color]","Bandai Spirits","5067485","RX-78 gundam","Static model kits","USD 16","2024-08-20","P-Bandai","","","","","https://www.scalemates.com/kits/--1605167"
"1:144","RX-78-2[US] Gundam (American Type)","Bandai Spirits","5062961","RX-78 gundam","Static model kits","USD 15","2025-10-18","Card & Collectible Show","","","","","https://www.scalemates.com/kits/--1357302"
"1:144","RX-78-3 G-3 Gundam [Beyond Global]","Bandai Spirits","5061120","RX-78 gundam","Static model kits","USD 25","2024-11-01","P-Bandai","","","","","https://www.scalemates.com/kits/--1355703"
"1:144","Weapon Set for RG 1/144 RX-78-2 Gundam Ver. 2.0","Bandai Spirits","5067187","RX-78 gundam","Detail and Conversion sets","USD 23","2024-07-31","P-Bandai","","","","","https://www.scalemates.com/kits/--1568341"
"1:100","RX-78NT-1 Gundam NT-1","Bandai Spirits","5057706","RX-78NT1 gundam NT-1","Static model kits","USD 69.87","2025-01-06","Amazon","","","","","https://www.scalemates.com/kits/--1226697"
"1:100","RX-9/C Narrative Gundam C-Packs Ver.Ka","Bandai Spirits","5066308","RX-9 Narrative gundam","Static model kits","USD 72","2024-11-25","Newtype.us","","","","","https://www.scalemates.com/kits/--1505670"
"1:144","RX-93 Nu Gundam","Bandai Spirits","5057842","RX-93","Static model kits","USD 52.46","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1221240"
"1:100","RX-93 ν Gundam ""Ver.Ka""","Bandai Spirits","5055454","RX-93","Static model kits","USD 89","0000-00-00","Michael's","","","","","https://www.scalemates.com/kits/--1304395"
"1:144","RX-93-ν2 Hi-Nu Gundam","Bandai Spirits","5061915","RX-93-ν-2 Hi-ν gundam","Static model kits","USD 59.99","2024-09-02","Amazon","","","","","https://www.scalemates.com/kits/--1316933"
"1:72","B-Wing Starfighter","Bandai Spirits","5064106","Slayn & Korpil A/SF-01 B-Wing Starfighter","Static model kits","USD 72.99","2025-01-04","eBay","","","","","https://www.scalemates.com/kits/--1490825"
"1:144","Gundam Naion","Bandai Spirits","5068878","The Witch from Mercury","Static model kits","USD 40","2025-08-01","P-Bandai","","","","","https://www.scalemates.com/kits/--1675748"
