"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:94","B-Wing Fighter","MPC","MPC-949","Slayn & Korpil A/SF-01 B-Wing Starfighter","Static snap-fit kits","USD 0","0000-00-00","gift","","","","","https://www.scalemates.com/kits/--1360070"
"1:12","Chuatury Panlunch","Bandai Spirits","5066292","The Witch from Mercury","Static model kits","USD 39.99","2024-03-08","Newtype.us","","","","","https://www.scalemates.com/kits/--1508784"
"No","Action Base 5 [The Witch from Mercury Image Color]","Bandai Spirits","5064237","The Witch from Mercury","Display bases","USD 10","2023-12-24","P-Bandai","","","","","https://www.scalemates.com/kits/--1480260"
"No","Action Base 6 (Clear Color)","Bandai Spirits","5065614","The Witch from Mercury","Display bases","","","","","","","","https://www.scalemates.com/kits/--1485335"
"1:144","Tickbalang","Bandai Spirits","5065021","Tickbalang","Static model kits","USD 14.5","0000-00-00","","","","","","https://www.scalemates.com/kits/--1447587"
"1:100","YF-21","Bandai Spirits","5066280","VF-22 Sturmvögel II","Static model kits","USD 70","2025-03-01","Amazon","","","","","https://www.scalemates.com/kits/--1508428"
"1:144","Gundam Calibarn","Bandai Spirits","5065322","X-EX01 gundam Calibarn","Static model kits","USD 25.5","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1480960"
"1:144","Gundam Lfrith","Bandai Spirits","5062944","XGF-02 gundam Lfrith","Static model kits","USD 36.3","0000-00-00","","","","","","https://www.scalemates.com/kits/--1413353"
"1:144","Gundam Aerial","Bandai Spirits","5063030","XVX-016 gundam Aerial","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1412229"
"1:144","Mirasoul Flight Unit","Bandai Spirits","5064254","XVX-016 gundam Aerial","Detail and Conversion sets","USD 15.99","0000-00-00","","","","","","https://www.scalemates.com/kits/--1457410"
"1:144","Gundam Aerial Rebuild","Bandai Spirits","5065096","XVX-016RN gundam Aerial Rebuild","Static model kits","USD 0","2024-11-24","Gift","","","","","https://www.scalemates.com/kits/--1462666"
"1:144","Wing Gundam Zero EW","Bandai Spirits","5061602","XXXG-00W0 Wing gundam Zero","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355167"
"1:144","XXXG-00W0 Wing Gundam Zero","Bandai Spirits","5058891","XXXG-00W0 Wing gundam Zero","Static model kits","USD 19.99","0000-00-00","","","","","","https://www.scalemates.com/kits/--1303153"
"1:144","XXXG-01D Gundam Deathscythe","Bandai Spirits","5061654","XXXG-01D gundam Deathscythe","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1317817"
"1:100","XXXG-01D Gundam Deathscythe","Bandai Spirits","5062841","XXXG-01D gundam Deathscythe","Static model kits","USD 56.99","2024-09-14","Black Knight Anime","","","","","https://www.scalemates.com/kits/--1421114"
"1:144","XXXG-01H Gundam Heavyarms","Bandai Spirits","5060745","XXXG-01H gundam heavyarms","Static model kits","USD 24.95","0000-00-00","","","","","","https://www.scalemates.com/kits/--1311710"
"1:144","XXXG-01S Shenlong Gundam","Bandai Spirits","5063364","XXXG-01S Shenlong gundam","Static model kits","USD 20","0000-00-00","","","","","","https://www.scalemates.com/kits/--1407604"
"1:144","XXXG-01SR Gundam Sandrock","Bandai Spirits","5057844","XXXG-01SR gundam Sandrock","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1508491"
"1:100","XXXG-01SR Gundam Sandrock","Bandai Spirits","5063043","XXXG-01SR gundam Sandrock","Static model kits","USD 57.99","2024-09-14","Black Knight Anime","","","","","https://www.scalemates.com/kits/--1421057"
"1:144","XXXG-01W Wing Gundam","Bandai","0183663","XXXG-01W Wing gundam","Static model kits","USD 24.95","0000-00-00","","","","","","https://www.scalemates.com/kits/--1128170"
"1:100","YF-19","Bandai Spirits","5064258","YF-19","Static model kits","USD 40.88","2025-02-16","Amazon","","","","","https://www.scalemates.com/kits/--1443001"
"1:100","Zaku Warrior [Live Concert Ver.]","Bandai Spirits","5061396","ZGMF-1000 Zaku Warrior","Static model kits","USD 40","2023-11-25","P-Bandai","","","","","https://www.scalemates.com/kits/--1356651"
"1:144","Destiny Gundam","Bandai Spirits","5061616","ZGMF-X42S Destiny gundam","Static model kits","USD 32.02","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1355619"
"1:144","ZGMF-X42S Destiny Gundam","Bandai Spirits","5057606","ZGMF-X42S Destiny gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1221129"
"1:144","Destiny Gundam Effect Unit Wing of Light","Bandai Spirits","5062921","ZGMF-X42S Destiny gundam","Detail and Conversion sets","USD 18","2024-05-24","P-Bandai","","","","","https://www.scalemates.com/kits/--1413298"
"1:144","ZGMF-X56S/α Force Impulse Gundam","Bandai Spirits","5059228","ZGMF-X56","Static model kits","USD 43.46","2025-10-23","Walmart.com","","","","","https://www.scalemates.com/kits/--1282070"
"1:144","ZA-02 Lycosidae Squad (Green)","Sheik Mainland","570178","超动骑兵 Ultra Action Trooper","Static model kits","USD 20.17","2025-03-06","AliExpress","","","","","https://www.scalemates.com/kits/--1503961"
