"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:100","MSM-07S Z'Gok","Bandai Spirits","5061576","MSM-07 Z'Gok","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355173"
"1:144","MSM-07E ""Z'Gok Experiment""","Bandai Spirits","5057739","MSM-07E Z'Gok E","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1305330"
"1:144","MSN-00100 Hyaku-Shiki","Bandai Spirits","5059242","MSN-00100 Hyaku Shiki","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1307204"
"1:144","MSN-03-2 Psycho Doga","Bandai Spirits","5064241","MSN-03 Jagd Doga","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1454140"
"1:100","Neo Zeon MSN-04 Sazabi","Bandai Spirits","5055457","MSN-04 Sazabi","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1304419"
"1:100","Eclipse Gundam","Bandai Spirits","5061919","MVF-X08 Eclipse gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1354430"
"No","Evangelion Mark.06","Bandai Spirits","5061666","Neon Genesis Evangelion","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1358973"
"No","Evangelion Regular Practical Unit-03 + Enchanted Shield of Virtue (For Unit 0)","Bandai Spirits","5062074","Neon Genesis Evangelion","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1383527"
"No","Evangelion Unit-04","Bandai Spirits","5063926","Neon Genesis Evangelion","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1439498"
"No","Evangelion Unit-08α","Bandai Spirits","5060931","Neon Genesis Evangelion","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1328274"
"1:24","Deepsea Ripper","Creative Field","330172","Number 57","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1481337"
"1:24","Grave Frog","Creative Field","330097","Number 57","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1370444"
"1:24","Shenshu","Creative Field","580320","Number 57","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1531904"
"1:24","Wander Soul","Creative Field","580382","Number 57","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1531905"
"No","Dragon's Ship","Bandai Spirits","5057424","One Piece","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1301701"
"No","Nine Snake Pirate Ship","Bandai","0180542","One Piece","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1122936"
"No","Trafalgar-Law's Submarine","Bandai Spirits","5057422","One Piece","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1301532"
"1:144","RG Shiranui unit for Akatsuki Gundam & Connection Parts for HG Zeus Silhouette","Bandai Spirits","5067271","ORB-01 Akatsuki gundam","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1592711"
"1:144","Dorado (ovm-e)","Bandai","0173935","ovm-e Dorado","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1127092"
"1:144","OZ-00MS2 Tallgeese II","Bandai Spirits","5055527","OZ-00MS2 Tallgeese II","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1242319"
"1:144","OZ-00MS2B Tallgeese III","Bandai Spirits","5058023","OZ-00MS2B Tallgeese III","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1303561"
"1:144","Leo NPD","Bandai","0225758","OZ-06MS Leo","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1148232"
"1:144","OZ-06MS Leo","Bandai","5059170","OZ-06MS Leo","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1140759"
"1:144","OZ-06MS Leo (Full Weapon Set)","Bandai Spirits","5059057","OZ-06MS Leo","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1303625"
"1:144","OZ-06MS-SS2 Leo-R","Bandai Spirits","5067277","OZ-06MS Leo","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1604702"
"1:144","PMX-002 Bolinoak-Sammahn","Bandai Spirits","5067431","PMX-002 Bolinoak Sammahn","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1559618"
"1:100","Tactical Pod Glaug","Bandai Spirits","5061225","Pod Glaug","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1306431"
"1:144","RB-79K Ball (08th MS Team Version) & RB-79 Ball (Shark Mouth)","Bandai Spirits","5065105","RB-79 Ball","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1439399"
"1:100","RB-79K Ball MS 08th Team Ver","Bandai Spirits","5069881","RB-79 Ball","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1666901"
"1:100","Worker Ball","Dragon Flight Model Hut","","RB-79 Ball","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1578465"
"1:144","RCX-76-01 Guncannon Mobility Test Type / Firepower Test Type","Bandai","0212187","RCX-76 guncannon","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1123392"
"1:144","RCX-76-02 Guncannon First Type (Iron Cavalry Squadron)","Bandai Spirits","5060656","RCX-76 guncannon","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1303827"
"1:144","RGM-79 GM","Bandai","0207599","RGM-79 GM","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1125336"
"1:100","RGM-79 GM Ver.2.0","Bandai Spirits","5061584","RGM-79 GM","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355628"
"1:144","RGM-79 GM [Moroccan Front type]","Bandai Spirits","5065297","RGM-79 GM (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1495672"
"1:144","RGM-79HC GM Guard Custom","Bandai","0230355","RGM-79 GM (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1153530"
"1:144","RGM-79KC GM Intercept Custom","Bandai Spirits","5055352","RGM-79 GM (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1177811"
"1:144","RGZ-95 ReZel","Bandai Spirits","5064089","RGZ-95 ReZel","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1427995"
"1:144","RGZ-95C ReZel Type-C (Defenser b-Unit) (GR)","Bandai Spirits","5060666","RGZ-95 ReZel","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1305072"
"1:144","RMS-099 Rick Dias","Bandai Spirits","5057391","RMS-099 Rick Dias","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1306959"
"1:144","RMS-106CS Hi-Zack Custom (A.O.Z Re-boot Ver.)","Bandai Spirits","5067270","RMS-106 HiZack","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1592667"
"1:100","RX-0 Unicorn Gundam ""Ver. Ka""","Bandai Spirits","5064131","RX-0 Unicorn","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1508874"
"1:100","RX-0 Unicorn Gundam ""Ver. Ka""","Bandai Spirits","5060277","RX-0 Unicorn","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1305140"
"1:100","RX-0 Unicorn Gundam 02 Banshee ""Ver. Ka""","Bandai Spirits","5061593","RX-0 Unicorn","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355217"
"1:144","ARZ-124 Gundam TR-6 [Woundwort] Psycho-Blade Custom [A.O.Z. Re-boot Ver.]","Bandai Spirits","5064911","RX-124 gundam TR-6","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1447341"
"1:100","RX-178 Gundam Mk-II","Bandai Spirits","5061577","RX-178","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355176"
"1:100","RX-75 Guntank","Bandai Spirits","5063573","RX-75 guntank","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1417052"
"1:100","RX-77-2 Guncannon","Bandai Spirits","5063570","RX-77 guncannon","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1417051"
"1:144","Gundam G40","Bandai Spirits","5058183","RX-78 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1371648"
"1:60","RX-78-2 Gundam","Bandai Spirits","5060765","RX-78 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1322645"
"1:100","RX-78-2 Gundam Ver.2.0","Bandai Spirits","5061583","RX-78 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355620"
"1:144","RX-78-2 Gundam [UKIYO-E Package Ver.]","Bandai Spirits","5072531","RX-78 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1741280"
"1:144","RX-78-3 G-3 Gundam","Bandai","0196683","RX-78 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1132035"
"1:144","RX-78/C.A Casval's Gundam","Bandai","0193010","RX-78 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1134098"
"1:100","RX-78/C.A Casval's Gundam Ver.3.0","Bandai","0218514","RX-78 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1134104"
"1:144","RX-78-01 (N) Gundam Local Type","Bandai","0210001","RX-78 gundam (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1123383"
"1:144","RX-78-01 (N) Gundam Local Type (North American Type)","Bandai","0218428","RX-78 gundam (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1123394"
"1:144","RX-78-01[FSD] Gundam FSD","Bandai","0225730","RX-78 gundam (The Origin Ver.)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1135940"
"1:144","RX-78 MS00Z Gundam GP00 (Engage Zero)","Bandai Spirits","5064910","RX-78 MS00Z Engage Zero","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1445122"
"1:144","RX-78GPZ01 Engage Gundam","Bandai Spirits","5066574","RX-78 MS00Z Engage Zero","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1530219"
"1:144","RX-78AL Atlas Gundam","Bandai Spirits","5063139","RX-78AL Atlas gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1418609"
"1:144","RX-78F00 HMT Gundam High Mobility Type (G-3 Image Color)","Bandai Spirits","5066020","RX-78F00 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1497715"
"1:144","RX-78F00/E Gundam (EX-001 G.L.R.S.S. Feather Unit)","Bandai Spirits","5068555","RX-78F00 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1587488"
"1:100","Gundam EZ-8","Bandai Spirits","5063145","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1626846"
"1:100","Gundam RX-79(G)","Bandai Spirits","5063823","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1416944"
"1:144","RX-79 (GS) Gundam Ground Type-S","Bandai","0215641","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1125348"
"1:144","RX-79(G) Gundam The Ground War Set","Bandai","0159945","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--330683"
"1:144","RX-79BD-1 Blue Destiny Unit 1","Bandai Spirits","5060972","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1508857"
"1:144","RX-79BD-1 Blue Destiny Unit 1 ""Exam""","Bandai Spirits","5058268","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1508700"
"1:144","RX-79BD-2 Blue Destiny Unit 2","Bandai Spirits","5060973","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1508858"
"1:144","RX-79BD-2 Blue Destiny Unit 2 ""Exam""","Bandai Spirits","5061823","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1417047"
"1:144","RX-79BD-3 Blue Destiny Unit 3","Bandai Spirits","5060974","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1508859"
"1:144","RX-79BD-3 Blue Destiny Unit 3 ""Exam""","Bandai Spirits","5060959","RX-79 gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1508706"
"1:144","RX-93 Nu Gundam (Luminescent Psycho-Frame Image Color)","Heart","656023","RX-93","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1581748"
"1:144","RX-93ff Nu Gundam","Bandai Spirits","5063410","RX-93","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1413349"
"1:100","Double Fin Funnel Custom Unit for ν Gundam Ver.Ka","Bandai","0180625","RX-93","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1132533"
"1:100","HWS Expansion Set for ν Gundam Ver.Ka","Bandai Spirits","5066158","RX-93","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1527630"
"1:100","RX-93-ν2 Hi-ν Gundam ""Ver Ka.""","Bandai Spirits","5061591","RX-93-ν-2 Hi-ν gundam","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1355175"
"1:100","H.W.S. Expansion Set for Hi-ν Gundam Ver.Ka","Bandai","0193009","RX-93-ν-2 Hi-ν gundam","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1132526"
"No","Hello Kitty / MS-06S Char's Zaku II","Bandai Spirits","5061029","SD gundam Cross Silhouette","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1319782"
"1:100","Missile Phalanx","Bandai Spirits","5061224","SDR-04 Destroid Phalanx","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1306480"
"1:48","Shinohara AV-98 Patrol Labor Ingram","Bandai","0193227","Series Patlabor","Static model kits","","","","","","","","https://www.scalemates.com/kits/--558752"
"1:850","U.S.S. Enterprise NCC-1701","Bandai","0116192","Starship Constitution-class (Refit)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--581265"
"1:850","U.S.S. Enterprise NCC-1701-A","Bandai","0124915","Starship Constitution-class (Refit)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--130148"
"1:850","U.S.S. Voyager NCC-74656","Bandai","131434","Starship Intrepid-class","Static model kits","","","","","","","","https://www.scalemates.com/kits/--983007"
"1:850","Enterprise NX-01","Bandai","122721","Starship NX-class","Static model kits","","","","","","","","https://www.scalemates.com/kits/--590513"
"1:1700","U.S.S. Enterprise NCC-1701-E","Bandai","0116424","Starship Sovereign-class","Static model kits","","","","","","","","https://www.scalemates.com/kits/--153915"
"No","Big-O","Good Smile Company","165311","The Big O","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1479862"
